Post ID,Description,Publish time,Permalink,Post type,Views,Reach,Likes,Shares,Follows,Comments,Saves
18069828914697498,,06/17/2026 0:02,https://www.instagram.com/p/DZrYlzslqGx/,IG image,669103,389927,18652,4012,127,173,5023
18019952741683673,"What it takes to lose feels easy.

What it takes to win feels hard.

That’s why there are so many seats in the stands and so few on the podium.",06/16/2026 18:00,https://www.instagram.com/p/DZqvSi0D8iG/,IG carousel,768671,346004,9937,1854,112,82,2649
17937850779266668,"It’s better to be the person everyone steals from than the thief who gets away with it.

Because after they’ve copied you, they still need you. But you never needed them to begin with.

You are source.",06/16/2026 12:06,https://www.instagram.com/reel/DZqGrw5vwxD/,IG reel,209785,129650,2527,182,20,70,566
17992522475988789,Alex Hormozi’s Message to Women🩵 #believe #faith #love #realtalk #listen EP159,06/16/2026 12:04,https://www.instagram.com/reel/DZqGVzeSBu4/,IG reel,756480,,29530,10612,,313,0
17972496402103282,"Do so much volume it would be unreasonable for you to fail.

Study each success and see what sets it apart from all the failures.

Repeat the winning parts even more times.

Don’t change your mind before you let compounding - compound.",06/16/2026 6:01,https://www.instagram.com/reel/DZpc2lrO7gQ/,IG reel,178481,112157,2399,298,19,48,701
18076690769289235,,06/16/2026 0:02,https://www.instagram.com/p/DZozz5MllTi/,IG image,738993,448027,23645,4002,615,282,3966
18361230631236790,"Most people get more rewarded for talking about their goals than going after them.

Which is why most people stay stuck and never start.",06/15/2026 18:00,https://www.instagram.com/reel/DZoKfI3BkET/,IG reel,174570,109893,3474,276,21,50,774
17950681469998453,"The reason you’re struggling to make the hard call isn’t because the decision is hard but because you haven’t decided where you’re trying to go.

It’s impossible to figure out which path in the road to take if you don’t know where you’re going.",06/15/2026 12:01,https://www.instagram.com/reel/DZnhP_ZvplG/,IG reel,351470,220623,3818,138,12,41,700
18099044240269637,"I call it the C.L.O.S.E.R Framework.

This is the exact flow I used to build sales teams in our portfolio companies.

Follow this to a tee.

If you skip steps, it won’t work.",06/15/2026 6:01,https://www.instagram.com/reel/DZm4Ew5Of-h/,IG reel,255375,163021,3362,444,46,55,834
18090980774086667,,06/15/2026 0:02,https://www.instagram.com/p/DZmO9RNlZF2/,IG image,725257,432147,19119,3229,101,230,4150
18127753204715806,"I’ve always had an aversion to people saying “I want to build an empire” mostly because it’s…

Delusional - and - empires all have one thing in common - they end.

So I’ve always preferred utility as the goal. Be useful. Help. Maximize that. And you’ll get whatever you want. And, like everything, the people you help and the things you do will disappear. But that’s okay. While you were here, you came and served.

And I see that as a life well lived. “Empire” or not.",06/14/2026 18:00,https://www.instagram.com/reel/DZlltO4hCXR/,IG reel,373074,229153,7147,572,30,167,1178
18079151693233978,"How to stay poor:
Find something that works. Stop doing it.",06/14/2026 16:08,https://www.instagram.com/reel/DZlYll1Pt7x/,IG reel,3471,2723,24,3,0,0,9
18124375714646483,The easiest way to make more money is to solve expensive problems for people who can afford to pay them.,06/14/2026 16:00,https://www.instagram.com/reel/DZlXyJLPoO7/,IG reel,2643,2127,24,4,4,0,7
18594232573023825,"It’s better to be the person everyone steals from than the thief who gets away with it.

Because after they’ve copied you, they still need you. But you never needed them to begin with.

You are source.",06/14/2026 15:57,https://www.instagram.com/reel/DZlXaNlP6aw/,IG reel,5035,3920,36,3,1,0,4
